Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
BANDAR PUTERI KLANG,KLANG,SELANGOR,FREEHOLD,TERRACE HOUSE,682500.0,434.0,74
BANDAR PUCHONG JAYA,PUCHONG,SELANGOR,FREEHOLD,TERRACE HOUSE,725000.0,513.0,74
TAMAN PONDEROSA,JOHOR BAHRU,JOHOR,FREEHOLD,SEMI D,1110900.0,535.0,74
TAMAN DESA JAYA,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,440000.0,338.0,73
LAMAN SETIA,ISKANDAR PUTERI (NUSAJAYA),JOHOR,FREEHOLD,TERRACE HOUSE,650000.0,389.0,73
TAMAN PELANGI INDAH,ULU TIRAM,JOHOR,FREEHOLD,SEMI D,600000.0,308.0,73
TAMAN PELANGI INDAH,ULU TIRAM,JOHOR,FREEHOLD,TERRACE HOUSE,600000.0,308.0,73
TAMAN PUTERI,PADANG SERAI,KEDAH,FREEHOLD,TERRACE HOUSE,204000.0,159.0,72
TAMAN SENGKANG,PASIR PANJANG,NEGERI SEMBILAN,FREEHOLD,TERRACE HOUSE,279000.0,192.0,72
MKH BOULEVARD,KAJANG,SELANGOR,LEASEHOLD,SERVICE RESIDENCE,299000.0,503.0,50
LA CASA LUNAS,LUNAS,KEDAH,FREEHOLD,SEMI D,516888.0,227.0,71
TAMAN RAIA UTAMA,GOPENG,PERAK,FREEHOLD,TERRACE HOUSE,268000.0,192.0,71
MEKARSARI UNGGUL (FASA III),KEPALA BATAS,PENANG,FREEHOLD,TERRACE HOUSE,613000.0,366.0,71
PUNCAK ALAM,BANDAR PUNCAK ALAM,SELANGOR,LEASEHOLD,CLUSTER HOUSE,400000.0,288.0,71
PUNCAK ALAM,BANDAR PUNCAK ALAM,SELANGOR,LEASEHOLD,TERRACE HOUSE,400000.0,288.0,71
PALMYRA RESIDENCES,BANGI,SELANGOR,FREEHOLD,SERVICE RESIDENCE,432000.0,508.0,50
TAMAN SERI AUSTIN,TEBRAU,JOHOR,FREEHOLD,CLUSTER HOUSE,719000.0,464.0,70
TAMAN SERI AUSTIN,TEBRAU,JOHOR,FREEHOLD,TERRACE HOUSE,719000.0,464.0,70
BANDAR SRI ASTANA,SUNGAI PETANI,KEDAH,FREEHOLD,TERRACE HOUSE,260000.0,177.0,70
BANDAR BARU SRI DAMANSARA,BANDAR SRI DAMANSARA,SELANGOR,FREEHOLD,TERRACE HOUSE,894000.0,564.0,70
TAMAN DESA CEMERLANG,ULU TIRAM,JOHOR,FREEHOLD,TERRACE HOUSE,495000.0,357.0,70
BANDAR DAMAI PERDANA,CHERAS,SELANGOR,FREEHOLD,TERRACE HOUSE,775000.0,543.0,70
SERELYN AVENUE,KUANTAN,PAHANG,LEASEHOLD,TERRACE HOUSE,388000.0,231.0,69
TAMAN PELANGI,JOHOR BAHRU,JOHOR,FREEHOLD,SEMI D,750000.0,325.0,69
TAMAN PELANGI,JOHOR BAHRU,JOHOR,FREEHOLD,TERRACE HOUSE,750000.0,325.0,69
TAMAN SETIA MUTIARA,KLUANG,JOHOR,FREEHOLD,SEMI D,150000.0,107.0,69
TAMAN SETIA MUTIARA,KLUANG,JOHOR,FREEHOLD,TERRACE HOUSE,150000.0,107.0,69
BANDAR CEMERLANG,TEBRAU,JOHOR,FREEHOLD,CLUSTER HOUSE,828000.0,345.0,69
